,,,,,,,,
,parent_name,parent_ticker,spinoff_name,spinoff_ticker,spinoff_date,,,
,Oil States International,OIS,Civeo Corporation,CVEO,5/28/14,,,
,Simon Property Group,SPG,Washington Prime Group,WPG,5/28/14,,,
,SLM Corporation,SLM,Navient Corporation,NAVI,4/30/14,,,
,Safeway,SWY,Blackhawk Network Holdings,HAWKB,4/14/14,,,
,Sears Holdings,SHLD,Land's End,LE,4/4/14,,,
,Dover Corporation,DOV,Knowles Corporation,KN,2/28/14,,,
,Newcastle Investment Corp,NCT,New Media Investment Group,NEWM,2/13/14,,,
,ONEOK Inc,OKE,ONE Gas,OGS,1/31/14,,,
,Starwood Property Trust,STWD,Starwood Waypoint Residential Trust,SWAY,1/31/14,,,
,Metso Corporation,MXCYY,Valmet Corporation,VALMT,12/31/13,,,
,Amcor Limited,AMC,Orora,ORA,12/17/13,,,
,Brambles Limited,BXB,Recall Holdings Limited,REC,12/9/13,,,
,Ingersoll-Rand,IR,Allegion plc,ALLE,12/1/13,,,
,Ashford Hospitality Trust,AHT,Ashford Hospitality Prime,AHP,11/19/13,,,
,Ceasars Entertainment Corporation,CZR,Ceasars Acquisitions Company,CACQ,11/18/13,,,
,United Online,UNTD,FTD Companies,FTD,11/1/13,,,
,Penn National Gaming,PENN,Gaming & Leisure Properties Inc,GLPI,11/1/13,,,
,Harvard Bioscience Inc,HBIO,Harvard Apparatus Regenerative Technology,HART,11/1/13,,,
,Autogrill spa,ATGSY,World Duty Free Group,WDF,10/1/13,,,
,Leidos ,LDOS,Science Applications International Corporation (SAIC),SAIC,9/27/13,,,
,Murphy Oil Corporation,MUR,Murphy Oil USA,MUSA,8/30/13,,,
,IDT Corporation,IDT,Straight Path Communications Inc,STRP,7/31/13,,,
,Siemens AG,SI,Osram,OSR,7/8/13,,,
,21st Century Fox,FOX,News Corporation,NWSA,6/28/13,,,
,Covidien,COV ,Mallinckrodt,MNK,6/28/13,,,
,Pfizer,PFE,Zoetis,ZTS,6/21/13,,,
,Kering,KER ,Groupe Fnac,FNAC,6/20/13,,,
,Dean Foods Company,DF,WhiteWave Foods Company,WWAV,5/23/13,,,
,Newcastle Investment Corp,NCT,New Residential Investment Corp,NRZ,5/15/13,,,
,Valero Energy Corporation,VLO,CST Brands,CST,5/1/13,,,
,Brookfield Asset Management,BAM,Brookfield Property Partners,BPY,4/15/13,,,
,Leucadia National Corp,LUK,Crimson Wine Group,OTC:CWGL,2/25/13,,,
,Seacor Holdings,CKH,Era Group,ERA,1/31/13,,,
,PPG Industries,PPG,Axiall Corporation,AXLL,1/28/13,,,
,Starz ,STRZA ,Liberty Media,LMCAD,1/11/13,,,
,Abbott Laboratories,ABT,AbbVie Inc,ABBV,1/2/13,,,
,Petrobank Energy & Resources,PBG.TO,Petrobakken Energy,PBN,12/31/12,,,
,Altisource Portfolio Solutions SA,ASPS,Altisource Asset Management Corporation,AAMC,12/21/12,,,
,Altisource Portfolio Solutions SA,ASPS,Altisource Residential Corporation,RESI,12/21/12,,,
,Elan Corporation,ELN,Prothena Corporation,PRTA,12/20/12,,,
,Vesuvius Plc,"VSVS
",Alent Plc,ALNT,12/19/12,,,
,Sears Holding Corporation,SHLD,Sears Canada,SCC,11/13/12,,,
,Comverse Technologies Inc,CMVT,Comverse Inc,CNSI,10/31/12,,,
,Mondelez International,MDLZ,Kraft Foods Group Inc,KRFT,10/1/12,,,
,FAB Universal Corporation,FU,Future Healthcare of America,FUTU,10/1/12,,,
,Tyco International,TYC,"ADT
","ADT
",9/28/12,,,
,Nacco Industries,NC,Hyster-Yale Materials Handling,HY,9/28/12,,,
,Sears Holding Corporation,SHLD,Hometown & Outlet Stores,SHOS,9/11/12,,,
,L-3 Communications Holdings,LLL,Engility,EGL,7/17/12,,,
,Matson Inc ,MATX,Alexander & Baldwin,ALEX,6/29/12,,,
,Hillshire Brands Company,HSH,D. E Master Blenders 1753,DEMBF,6/28/12,,,
,Carrols Restaurant Group,TAST,Fiesta Restaurant Group,FRGI,5/7/12,,,
,ConocoPhillips,COP,Phillips 66,PSX,4/30/12,,,
,NovaGold Resources,NG,NovaCopper,NCQ,4/30/12,,,
,Galena Biopharma,GALE,Rxi Pharmaceutical,RXII,4/26/12,,,
,Atlas Energy LP,ATLS,Atlas Resource Partners LP,ARP,3/13/12,,,
,Ralcorp Holdings,RAH ,Post Foods,POST,2/3/12,,,
,Sunoco,SUN,SunCoke Energy,SXC,1/17/12,,,
,General Growth Properties,GGP,Rouse Properties,RSE,1/12/12,,,
,Williams Companies,WMB,WPX Energy,WPX,12/31/11,,,
,Sears Holding Company,SHLD,Orchard Supply Hardware,OSH,12/30/11,,,
,Expedia,EXPE,TripAdvisor Inc,TRIP,12/20/11,,,
,Inergy LP,NRGY,Inergy Midstream LP (MLP),NRGM,12/16/11,,,
,Telecom Corporation of New Zealand,NZT,Chorus,CNU,12/1/11,,,
,Marriott International,MAR,Marriott Vacations Worldwide,VAC,11/21/11,,,
,Open Range Energy Corp,ONR,Poseidon Concepts,PSN,11/4/11,,,
,NTelos,NTLS,Lumos Networks,LMOS,10/31/11,,,
,ITT Corporation,ITT,Exelis,XLS,10/31/11,,,
,ITT Corporation,ITT,Xylem,XYL,10/31/11,,,
,IDT Corporation,IDT,Genie Energy,GNE,10/31/11,,,
,Western Copper Corporation,WRN,Copper North Mining Corp,COL,10/17/11,,,
